ano,escolaridade,ganho_medio_mensal
2015,01. Inferior ao 1.º ciclo,704.2
2015,02. Básico - 1º Ciclo,779.7
2015,03. Básico - 2º Ciclo,804.4
2015,04. Básico - 3º Ciclo,861.2
2015,05. Secundário,1072.3
2015,07. Bacharelato,1803.3
2015,08. Licenciatura,1820.2
2015,09. Mestrado,1760.2
2015,10. Doutoramento,2487.4
2016,01. Inferior ao 1.º ciclo,716.1
2016,02. Básico - 1º Ciclo,792.6
2016,03. Básico - 2º Ciclo,821.3
2016,04. Básico - 3º Ciclo,869.3
2016,05. Secundário,1067.8
2016,07. Bacharelato,1805.6
2016,08. Licenciatura,1812.9
2016,09. Mestrado,1763.1
2016,10. Doutoramento,2567.9
2017,01. Inferior ao 1.º ciclo,736.0
2017,02. Básico - 1º Ciclo,815.0
2017,03. Básico - 2º Ciclo,847.5
2017,04. Básico - 3º Ciclo,892.6
2017,05. Secundário,1077.6
2017,06. Curso técnico superior profissional,1031.6
2017,07. Bacharelato,1821.9
2017,08. Licenciatura,1820.7
2017,09. Mestrado,1779.7
2017,10. Doutoramento,2534.0
2018,01. Inferior ao 1.º ciclo,771.8
2018,02. Básico - 1º Ciclo,845.3
2018,03. Básico - 2º Ciclo,882.7
2018,04. Básico - 3º Ciclo,920.3
2018,05. Secundário,1095.7
2018,06. Curso técnico superior profissional,1049.9
2018,07. Bacharelato,1841.8
2018,08. Licenciatura,1850.1
2018,09. Mestrado,1825.6
2018,10. Doutoramento,2605.4
2019,01. Inferior ao 1.º ciclo,793.6
2019,02. Básico - 1º Ciclo,873.7
2019,03. Básico - 2º Ciclo,915.2
2019,04. Básico - 3º Ciclo,950.1
2019,05. Secundário,1115.6
2019,06. Curso técnico superior profissional,1072.0
2019,07. Bacharelato,1859.7
2019,08. Licenciatura,1877.0
2019,09. Mestrado,1905.6
2019,10. Doutoramento,2571.3
2020,01. Inferior ao 1.º ciclo,820.4
2020,02. Básico - 1º Ciclo,894.4
2020,03. Básico - 2º Ciclo,944.5
2020,04. Básico - 3º Ciclo,980.0
2020,05. Secundário,1137.0
2020,06. Curso técnico superior profissional,1141.9
2020,07. Bacharelato,1900.9
2020,08. Licenciatura,1907.4
2020,09. Mestrado,1964.2
2020,10. Doutoramento,2692.5
2021,01. Inferior ao 1.º ciclo,854.7
2021,02. Básico - 1º Ciclo,931.6
2021,03. Básico - 2º Ciclo,980.2
2021,04. Básico - 3º Ciclo,1012.1
2021,05. Secundário,1160.9
2021,06. Curso técnico superior profissional,1205.0
2021,07. Bacharelato,1956.5
2021,08. Licenciatura,1936.7
2021,09. Mestrado,2064.3
2021,10. Doutoramento,2790.9
2022,01. Inferior ao 1.º ciclo,896.5
2022,02. Básico - 1º Ciclo,976.8
2022,03. Básico - 2º Ciclo,1032.3
2022,04. Básico - 3º Ciclo,1066.8
2022,05. Secundário,1214.4
2022,06. Curso técnico superior profissional,1291.5
2022,07. Bacharelato,2067.6
2022,08. Licenciatura,2031.9
2022,09. Mestrado,2199.4
2022,10. Doutoramento,2886.2
2023,01. Inferior ao 1.º ciclo,970.2
2023,02. Básico - 1º Ciclo,1051.2
2023,03. Básico - 2º Ciclo,1114.1
2023,04. Básico - 3º Ciclo,1142.3
2023,05. Secundário,1295.1
2023,06. Curso técnico superior profissional,1413.2
2023,07. Bacharelato,2190.5
2023,08. Licenciatura,2152.3
2023,09. Mestrado,2379.8
2023,10. Doutoramento,3062.2
